Variant-0,Variant-1,Variant-2,Variant-3,Variant-4,Variant-5,Variant-6,Variant-7,Variant-8,Variant-9,Variant-10,Variant-11,Variant-12,Variant-13,Variant-14,Variant-15,Variant-16,Variant-17,Variant-18,Variant-19,Sources
0,6,4,2,4,2,4,2,2,2,2,3,4,5,3,4,7,2,2,4,Source-0
6,0,4,6,2,4,4,4,4,4,6,3,2,3,5,2,1,4,6,2,Source-1
5,3,1,3,3,5,5,3,5,5,3,4,3,4,2,5,2,3,5,3,Source-2
2,6,2,0,6,2,6,4,2,2,2,5,4,3,1,4,5,2,2,4,Source-3
4,4,2,4,2,4,4,2,4,4,4,3,4,5,5,6,3,6,2,2,Source-4
3,3,5,3,3,1,3,5,1,1,3,2,1,2,2,1,4,1,3,3,Source-5
4,4,6,6,2,4,0,4,4,4,4,1,2,5,5,4,5,4,4,4,Source-6
2,6,2,2,4,4,6,2,4,4,2,5,6,5,3,6,5,4,2,4,Source-7
1,5,3,1,5,1,5,3,1,1,3,4,3,4,2,3,6,1,3,3,Source-8
2,4,4,2,4,0,4,4,0,0,4,3,2,3,3,2,5,2,2,2,Source-9
3,5,3,3,3,5,3,3,5,5,1,2,3,4,2,5,4,3,3,5,Source-10
4,2,4,4,2,2,2,4,2,2,4,1,0,3,3,2,3,2,4,2,Source-11
5,3,3,3,3,3,3,5,3,3,3,2,1,2,2,3,2,3,3,3,Source-12
4,4,4,2,4,2,4,6,2,2,2,3,2,1,1,2,3,2,2,4,Source-13
5,3,3,3,3,3,5,5,3,3,3,4,3,2,2,3,2,3,3,3,Source-14
3,3,5,3,3,1,3,5,1,1,3,2,1,2,2,1,4,1,3,3,Source-15
7,1,3,5,3,5,5,5,5,5,5,4,3,2,4,3,0,5,5,3,Source-16
5,3,3,3,3,3,3,5,3,3,3,2,1,2,2,3,2,3,3,3,Source-17
1,5,5,3,3,1,3,3,1,1,3,2,3,4,4,3,6,3,1,3,Source-18
1,5,5,3,3,3,3,3,3,3,1,2,3,4,2,3,6,1,3,5,Source-19
